trace_id,endpoint,is_correct,structural_stability,n_bonds,n_entropy_points,initial_entropy,final_entropy,covalent_ratio,hydrogen_ratio,vdw_ratio
0257e9af-dce0-475c-a522-74f895efe7b9,cyp2c9_veith,True,2.454659473234639e-13,210,210,-0.0,1.4131886988372588,0.20476190476190476,0.22380952380952382,0.5714285714285714
0496bba3-f239-45c9-82e6-8bbb6f853ac5,cyp2c9_veith,True,8.832017489887098e-17,190,190,-0.0,1.4667204647525454,0.16842105263157894,0.34210526315789475,0.48947368421052634
060fbdf7-98d5-4eb1-a4ec-659c43e7b3be,cyp2c9_veith,True,2.8235280271674134e-20,210,210,-0.0,1.3553229562271478,0.10476190476190476,0.3619047619047619,0.5333333333333333
06624bf6-3347-4e6d-903a-675b1a315ab9,cyp2c9_veith,True,1.6733383391433688e-23,171,171,-0.0,1.3124308023479359,0.15789473684210525,0.21052631578947367,0.631578947368421
07c25b31-8f48-4c2b-aa09-7f3d48434d60,cyp2c9_veith,,,1,1,-0.0,-0.0,1.0,0.0,0.0
08391cb9-ce9f-46b2-9508-9ba98903eb16,cyp2c9_veith,True,3.718855613014539e-23,190,190,-0.0,1.2889712572884897,0.17894736842105263,0.1736842105263158,0.6473684210526316
0967320f-d62d-4b8e-85ac-d1250022394f,cyp2c9_veith,True,2.1438865513184012e-20,378,378,-0.0,1.3398422097444795,0.12962962962962962,0.2751322751322751,0.5952380952380952
0a75337a-fd2c-434f-b9d0-4a801262160a,cyp2c9_veith,True,1.9324615746318074e-23,171,171,-0.0,1.450366323427432,0.2222222222222222,0.23391812865497075,0.543859649122807
0dd4a92d-ffa3-4f1b-8748-a11f9b8ee42e,cyp2c9_veith,False,1.0974611805788812e-18,21,21,-0.0,1.2677702161044204,0.2857142857142857,0.09523809523809523,0.6190476190476191
0fa73734-8740-499d-b32f-a13c0255e674,cyp2c9_veith,True,1.8456062037747455e-21,300,300,-0.0,1.3209849353663925,0.15,0.22666666666666666,0.6233333333333333
114c3d4e-125a-4636-9505-34655a96b6e5,cyp2c9_veith,True,2.163714364199549e-24,190,190,-0.0,1.4885652333143442,0.18947368421052632,0.3263157894736842,0.4842105263157895
11518dfe-f1f8-41ea-b1a8-11391380f270,cyp2c9_veith,True,1.8566023494375096e-17,300,300,-0.0,1.3734643950378893,0.17,0.23666666666666666,0.5933333333333334
13f43361-19dd-4187-98cd-11c069ca014b,cyp2c9_veith,True,1.477983160885721e-18,171,171,-0.0,1.200045668736675,0.11695906432748537,0.19883040935672514,0.6842105263157895
15f823e4-6eb4-40ef-9876-919f955ac82a,cyp2c9_veith,True,3.0509149656882516e-24,253,253,-0.0,1.3085722795973342,0.1422924901185771,0.22924901185770752,0.6284584980237155
1768f3bb-b92d-4263-9549-4ad133f70bee,cyp2c9_veith,True,8.633295419123872e-22,231,231,-0.0,1.3293330813384119,0.16883116883116883,0.2077922077922078,0.6233766233766234
185891ac-8af7-4f0f-94dc-1e2a4dd74c4b,cyp2c9_veith,True,3.197794817094055e-18,325,325,-0.0,1.3353916976044788,0.18769230769230769,0.19076923076923077,0.6215384615384615
1f5c693e-3e3b-4e59-ad5f-2f4f84bf0d3a,cyp2c9_veith,True,4.549883665863119e-22,210,210,-0.0,1.4310064824127182,0.17142857142857143,0.2857142857142857,0.5428571428571428
224e3d56-149d-4280-b9ff-fd00272de2c7,cyp2c9_veith,False,1.1051868107408807e-21,276,276,-0.0,1.4006651265621564,0.18115942028985507,0.2427536231884058,0.5760869565217391
259bbcb3-b611-4762-ab11-a56ec65d5f71,cyp2c9_veith,True,8.905732697927528e-22,210,210,-0.0,1.5272692642257981,0.3333333333333333,0.21904761904761905,0.44761904761904764
2690174a-8962-430b-8469-8f6e7212cf12,cyp2c9_veith,True,6.658227848222844e-17,210,210,-0.0,1.2552019025891488,0.14285714285714285,0.19523809523809524,0.6619047619047619
272650a8-ea49-4e44-b804-2ff7aad1e16e,cyp2c9_veith,True,3.616278017913342e-24,253,253,-0.0,1.311163949295599,0.14624505928853754,0.22529644268774704,0.6284584980237155
2854408e-a5ad-412a-af9e-f62f1c6debb4,cyp2c9_veith,True,7.921208236080311e-25,406,406,-0.0,1.4356467164029114,0.18472906403940886,0.2684729064039409,0.5467980295566502
2980ec4e-8dc8-437d-b2bc-29eea5ae5de4,cyp2c9_veith,True,8.770228106578876e-17,171,171,-0.0,1.3992359699538754,0.1871345029239766,0.23391812865497075,0.5789473684210527
300fa456-2f09-4a18-be4d-217d3b6cd218,cyp2c9_veith,True,2.0997153885785115e-19,300,300,-0.0,1.3139575950171607,0.17333333333333334,0.19333333333333333,0.6333333333333333
30774cef-1832-458a-a3cb-7247fe81f20a,cyp2c9_veith,True,2.588832771617946e-18,231,231,-0.0,1.4153625476642269,0.19047619047619047,0.24242424242424243,0.5670995670995671
30f7f6de-d9e9-45d0-ade1-246aabd77cfa,cyp2c9_veith,False,2.0201362264483175e-21,231,231,-0.0,1.3949243415411956,0.2077922077922078,0.2077922077922078,0.5844155844155844
34265949-5af7-450b-a674-bbba5ca28e0e,cyp2c9_veith,True,8.061946168889146e-23,190,190,-0.0,1.3228002227986695,0.1631578947368421,0.21052631578947367,0.6263157894736842
34aaf679-2063-46b6-b15d-713c847f9760,cyp2c9_veith,True,4.128557229112929e-17,300,300,-0.0,1.4889096413237783,0.25666666666666665,0.23333333333333334,0.51
34b28048-6ddc-4dcf-aab9-2d50623b0cad,cyp2c9_veith,True,1.8796094180322384e-17,253,253,-0.0,1.2927836786838267,0.16205533596837945,0.19367588932806323,0.6442687747035574
37dcab5b-13ff-478e-82d5-77302bc0f231,cyp2c9_veith,True,2.8403327640406217e-18,253,253,-0.0,1.3203509383691827,0.16600790513833993,0.20553359683794467,0.6284584980237155
386a8a46-0906-4ad4-bfea-5cfd2a06a1a3,cyp2c9_veith,True,4.634032544186527e-17,231,231,-0.0,1.1419836109199495,0.16883116883116883,0.11688311688311688,0.7142857142857143
